날짜,종가,전일비,시가,고가,저가,거래량
2019.05.20,43650.0,450.0,42600.0,44700.0,42150.0,114412.0
2019.05.17,43200.0,300.0,44000.0,44100.0,41000.0,237329.0
2019.05.16,43500.0,1400.0,44900.0,45700.0,43250.0,110606.0
2019.05.15,44900.0,600.0,44750.0,46000.0,44000.0,162316.0
2019.05.14,44300.0,1900.0,42350.0,45150.0,41800.0,231081.0
2019.05.13,42400.0,350.0,42700.0,43000.0,41650.0,103953.0
2019.05.10,42750.0,50.0,43300.0,43400.0,40250.0,99120.0
2019.05.09,42700.0,1900.0,45400.0,46800.0,42600.0,253552.0
2019.05.08,44600.0,100.0,44300.0,45400.0,43750.0,144184.0
2019.05.07,44700.0,1000.0,43050.0,45200.0,42750.0,150881.0
2019.05.03,43700.0,1500.0,42200.0,44850.0,42200.0,228967.0
2019.05.02,42200.0,0.0,42200.0,42450.0,40750.0,90036.0
2019.04.30,42200.0,2250.0,40200.0,42500.0,39950.0,128711.0
2019.04.29,39950.0,250.0,39250.0,40650.0,38950.0,84677.0
2019.04.26,39700.0,300.0,40000.0,41300.0,39350.0,72316.0
2019.04.25,40000.0,1300.0,39950.0,40450.0,38000.0,228053.0
2019.04.24,38700.0,400.0,38700.0,39900.0,38300.0,100531.0
2019.04.23,39100.0,2800.0,41850.0,41850.0,39050.0,148670.0
2019.04.22,41900.0,400.0,42200.0,42700.0,41150.0,71333.0
2019.04.19,42300.0,650.0,41800.0,42750.0,41000.0,95784.0
2019.04.18,41650.0,300.0,41000.0,43450.0,40850.0,160036.0
2019.04.17,41350.0,2450.0,44000.0,44050.0,41300.0,234037.0
2019.04.16,43800.0,1750.0,44850.0,44850.0,42300.0,404065.0
2019.04.15,45550.0,3050.0,50200.0,52000.0,45550.0,913389.0
2019.04.12,48600.0,5000.0,44300.0,51800.0,43100.0,1192397.0
2019.04.11,43600.0,3300.0,40450.0,45350.0,40200.0,698453.0
2019.04.10,40300.0,600.0,39900.0,41600.0,38950.0,315876.0
2019.04.09,39700.0,1800.0,41850.0,44300.0,39500.0,723237.0
2019.04.08,41500.0,5450.0,38700.0,42550.0,37200.0,1461649.0
2019.04.05,36050.0,1550.0,38050.0,38050.0,35850.0,125915.0
2019.04.04,37600.0,750.0,36650.0,37800.0,35600.0,135304.0
2019.04.03,36850.0,700.0,36150.0,36850.0,35750.0,42950.0
2019.04.02,36150.0,950.0,36700.0,37400.0,36000.0,56752.0
2019.04.01,37100.0,850.0,35850.0,37650.0,35550.0,101187.0
2019.03.29,36250.0,900.0,35300.0,36700.0,33900.0,140599.0
